PERMNO,date,TICKER,PRC,VOL
10107,20070103,MSFT,29.86000,77630458
10107,20070104,MSFT,29.81000,46650955
10107,20070105,MSFT,29.64000,44681937
10107,20070108,MSFT,29.93000,52021978
10107,20070109,MSFT,29.96000,44708046
10107,20070110,MSFT,29.66000,56867092
10107,20070111,MSFT,30.70000,99520582
10107,20070112,MSFT,31.21000,104312728
10107,20070116,MSFT,31.16000,62442064
10107,20070117,MSFT,31.10000,60649602
10107,20070118,MSFT,31.00000,56383521
10107,20070119,MSFT,31.11000,76213519
10107,20070122,MSFT,30.72000,56278458
10107,20070123,MSFT,30.74000,49460050
10107,20070124,MSFT,31.09000,58558947
10107,20070125,MSFT,30.45000,99445532
10107,20070126,MSFT,30.60000,96140717
10107,20070129,MSFT,30.53000,57758185
10107,20070130,MSFT,30.48000,65308929
10107,20070131,MSFT,30.86000,74016311
10107,20070201,MSFT,30.56000,55367062
10107,20070202,MSFT,30.19000,60643766
10107,20070205,MSFT,29.61000,101583497
10107,20070206,MSFT,29.51000,79323602
10107,20070207,MSFT,29.37000,65154614
10107,20070208,MSFT,29.26000,49151787
10107,20070209,MSFT,28.98000,70221026
10107,20070212,MSFT,28.94000,52812852
10107,20070213,MSFT,29.03000,50417485
10107,20070214,MSFT,29.40000,55591266
10107,20070215,MSFT,29.46000,64003176
10107,20070216,MSFT,28.74000,109553235
10107,20070220,MSFT,28.83000,53990560
10107,20070221,MSFT,29.35000,69530267
10107,20070222,MSFT,29.39000,57816174
10107,20070223,MSFT,28.90000,63864666
10107,20070226,MSFT,29.07000,67584477
10107,20070227,MSFT,27.87000,87693760
10107,20070228,MSFT,28.17000,86470000
10107,20070301,MSFT,28.09000,80057439
10107,20070302,MSFT,27.76000,63300143
10107,20070305,MSFT,27.54990,56465969
10107,20070306,MSFT,27.83000,49392053
10107,20070307,MSFT,27.61000,54017594
10107,20070308,MSFT,27.32000,72214365
10107,20070309,MSFT,27.29000,80263607
10107,20070312,MSFT,27.44000,36555521
10107,20070313,MSFT,26.72000,75253547
10107,20070314,MSFT,27.40000,75809727
10107,20070315,MSFT,27.28000,51824826
10107,20070316,MSFT,27.33000,65324925
10107,20070319,MSFT,27.83000,53297510
10107,20070320,MSFT,27.84000,47923954
10107,20070321,MSFT,28.52000,76197754
10107,20070322,MSFT,28.27000,49515105
10107,20070323,MSFT,28.02000,50528308
10107,20070326,MSFT,28.22000,47496174
10107,20070327,MSFT,27.72000,58981972
10107,20070328,MSFT,27.64000,49166541
10107,20070329,MSFT,27.75000,42631840
10107,20070330,MSFT,27.87000,47071100
10107,20070402,MSFT,27.74000,42002783
10107,20070403,MSFT,27.87000,42651376
10107,20070404,MSFT,28.50000,63259241
10107,20070405,MSFT,28.55000,30196555
10107,20070409,MSFT,28.57000,31466880
10107,20070410,MSFT,28.40000,38678735
10107,20070411,MSFT,28.11000,44367395
10107,20070412,MSFT,28.54000,43775550
10107,20070413,MSFT,28.61000,36133209
10107,20070416,MSFT,28.73000,30742957
10107,20070417,MSFT,28.85000,33170254
10107,20070418,MSFT,28.60000,41931046
10107,20070419,MSFT,28.69000,44833990
10107,20070420,MSFT,29.02000,61666264
10107,20070423,MSFT,28.78000,42071627
10107,20070424,MSFT,28.79000,34275129
10107,20070425,MSFT,28.99000,39491836
10107,20070426,MSFT,29.10000,70220353
10107,20070427,MSFT,30.12000,128339168
10107,20070430,MSFT,29.94000,68330869
10107,20070501,MSFT,30.40000,74201921
10107,20070502,MSFT,30.61000,81355531
10107,20070503,MSFT,30.97000,82053032
10107,20070504,MSFT,30.56000,104417842
10107,20070507,MSFT,30.71000,60330407
10107,20070508,MSFT,30.75000,60585329
10107,20070509,MSFT,30.77990,51819895
10107,20070510,MSFT,30.58000,55430450
10107,20070511,MSFT,30.89000,43679306
10107,20070514,MSFT,30.97000,70320835
10107,20070515,MSFT,30.90000,75066602
10107,20070516,MSFT,31.07000,45841837
10107,20070517,MSFT,30.98000,41858216
10107,20070518,MSFT,30.83000,58464208
10107,20070521,MSFT,31.05000,43931636
10107,20070522,MSFT,30.69000,40160292
10107,20070523,MSFT,30.58000,46392787
10107,20070524,MSFT,30.17000,47726716
10107,20070525,MSFT,30.48000,47725516
10107,20070529,MSFT,30.79000,42378445
10107,20070530,MSFT,31.11000,57484053
10107,20070531,MSFT,30.69010,86433177
10107,20070601,MSFT,30.59000,39510885
10107,20070604,MSFT,30.71500,41445058
10107,20070605,MSFT,30.58000,44287491
10107,20070606,MSFT,30.29000,38260861
10107,20070607,MSFT,29.62000,72270555
10107,20070608,MSFT,30.05000,61262669
10107,20070611,MSFT,30.02000,48485758
10107,20070612,MSFT,29.85000,57173731
10107,20070613,MSFT,30.39000,64518879
10107,20070614,MSFT,30.52000,59185179
10107,20070615,MSFT,30.49000,101828191
10107,20070618,MSFT,30.51000,45671947
10107,20070619,MSFT,30.46000,46804830
10107,20070620,MSFT,30.01000,47110736
10107,20070621,MSFT,30.22000,57059364
10107,20070622,MSFT,29.49000,88491068
10107,20070625,MSFT,29.49000,53984230
10107,20070626,MSFT,29.52000,48320518
10107,20070627,MSFT,29.87000,55246266
10107,20070628,MSFT,29.83000,46191383
10107,20070629,MSFT,29.47000,71321820
10107,20070702,MSFT,29.74000,47503370
10107,20070703,MSFT,30.02000,35306732
10107,20070705,MSFT,29.99000,47845197
10107,20070706,MSFT,29.97000,57603980
10107,20070709,MSFT,29.87000,33900898
10107,20070710,MSFT,29.33000,66434006
10107,20070711,MSFT,29.49000,48257763
10107,20070712,MSFT,30.07000,54301914
10107,20070713,MSFT,29.82000,42177303
10107,20070716,MSFT,30.03000,47885559
10107,20070717,MSFT,30.77990,77539532
10107,20070718,MSFT,30.92000,64436862
10107,20070719,MSFT,31.51000,121174346
10107,20070720,MSFT,31.16000,98370230
10107,20070723,MSFT,31.19000,48910516
10107,20070724,MSFT,30.80000,63057737
10107,20070725,MSFT,30.71000,55078953
10107,20070726,MSFT,29.98000,87619427
10107,20070727,MSFT,29.39010,69225437
10107,20070730,MSFT,29.40000,67525450
10107,20070731,MSFT,28.99000,66689353
10107,20070801,MSFT,29.30000,80012068
10107,20070802,MSFT,29.52000,48046542
10107,20070803,MSFT,28.96010,69517282
10107,20070806,MSFT,29.54000,59524123
10107,20070807,MSFT,29.55000,49695208
10107,20070808,MSFT,30.00000,52295305
10107,20070809,MSFT,29.30000,73141527
10107,20070810,MSFT,28.71000,76601137
10107,20070813,MSFT,28.63000,55617006
10107,20070814,MSFT,28.27000,42823635
10107,20070815,MSFT,28.10000,48120465
10107,20070816,MSFT,27.81000,81521176
10107,20070817,MSFT,28.25000,76748357
10107,20070820,MSFT,28.26000,50757769
10107,20070821,MSFT,28.07000,50842339
10107,20070822,MSFT,28.22000,46021808
10107,20070823,MSFT,28.30000,33886369
10107,20070824,MSFT,28.81000,45162653
10107,20070827,MSFT,28.49000,32791057
10107,20070828,MSFT,27.93000,44542982
10107,20070829,MSFT,28.59000,45575145
10107,20070830,MSFT,28.45000,33689914
10107,20070831,MSFT,28.73000,42788501
10107,20070904,MSFT,28.81000,45383482
10107,20070905,MSFT,28.48000,47993192
10107,20070906,MSFT,28.91000,45627095
10107,20070907,MSFT,28.44000,52163911
10107,20070910,MSFT,28.48000,37257551
10107,20070911,MSFT,28.93000,34380780
10107,20070912,MSFT,28.93000,42472597
10107,20070913,MSFT,29.16000,35378314
